id,requirement
QuRE-001,A segment is adequately specified by two points.
QuRE-002,"In order to ensure that the severity of this test corresponds to the real requirements in the field, particular care must be taken during the test to generally simulate the installation situation of the component in the vehicle adequately in accordance with SPEC 10305-1 Draft 1: E / E Environmental Testing; Part 1: Test Specifications>."
QuRE-003,"In order to ensure that the severity of this test corresponds to the real requirements in the field, particular care must be taken during the test to generally simulate the installation situation of the component in the vehicle adequately in accordance with `` Environmental Testing-Part 1: Test Specifications '' [LH-2160], Chapter 5.5."
QuRE-004,"In order to ensure that the severity of this test corresponds to the actual requirements in the field, particular care must always be taken during the performance of this test to simulate the mounting situation of the component in the vehicle adequately in accordance with `` E / E Environmental Testing; Part 1: Test Specifications '' [LH-2160], chapter 5.5"
QuRE-005,An adequate velocity independent cross-fading at chances of EPS_FtWhlAngl_Stat between HIGH_PRECISION and LOW_PRECISION shall be done to avoid jumps in the output signal.
QuRE-006,An adequate heat dissipation concept must be developed (e.g. heat dissipation via bushing).
QuRE-007,"The suppliers must carry out and document adequate stress tests (e.g. burn-in) for critical bought-out parts (e.g. microcontrollers, ASICs, new components)."
QuRE-008,"The analysis proceedings shall be done by adequate state of the art analyze methods (micrographs, x-ray, etc.) and in agreemnet with the client."
QuRE-009,"The supplier shall propose materials, which are adequate for mechanical load and are light weighted."
QuRE-010,"The supplier shall propose materials, which are adequate for safety and for optical appearance."
QuRE-011,The Contractor shall ensure that adequate test resources are available for every market specific version of the component.
QuRE-012,"The contractor shall ensure that adequate test resources are available for software tests, software qualification, application tests, application qualification, creation of automatic tests, execution and analysis of automatic tests, retests and verification of bugs, and system qualification."
QuRE-013,"Alternatively, the contractor can propose adequate means to fulfill this requirement, which has to be approved by the client."
QuRE-014,The contractor shall apply adequate software version management for the source code files received from OEM.
QuRE-015,The contractor shall ensure that adequate test resources are available at least for following markets:
QuRE-016,Active HV components can feed in currents into the HV intermediate circuit and have an adequate control mechanism for switching off the feed-in.
QuRE-017,"In case of abnormal condition, the system shall provide adequate information to driver and / or service personnel."
QuRE-018,The containment of released gases shall be avoided by adequate battery design and integration in the vehicle.
QuRE-019,Scope:B-samples are functional samples which are partially suitable for vehicle operation and which guarantee adequate hardware and software operating reliability for initial tests on the test rig and in vehicle construction.
QuRE-020,"For an adequate assembly of the PEB into the vehicle, the coolant tubes shall be error proofed and connectable with quick-release fastener to the vehicle coolant system."
QuRE-021,"The component shall be able to handle at least 1,000 graphical icons (e.g. POI-symbols) simultaneously on the display and apply an adequate grouping principle if necessary."
QuRE-022,The microphone shall be snapped in on a small mounting plate which also acts as the microphone cover with adequate openings.
