id,requirement
Dron-01,The MapComponent shall support different types of map layers (e.g.  terrain  satellite)
Dron-02,The MissionPlanner shall execute flight plans for multiple UAVs concurrently.
Dron-03,The GCS shall transmit the UAV's properties to the GCSMiddleware
Dron-04,The GCS shall transmit the UAV's current location to the GCSMiddleware
Dron-05,The GCS shall report newly connected UAVs to the GCSMiddleware.
Dron-06,The GCS shall assign a message frequency for all UAVs.
Dron-07,When the GCS receives a UAV command from the GCSMiddleware  the GCS shall forward the command to the respective UAV.
Dron-08,When the connection to the GCS from the GCSMiddleware is lost  the GCSMiddleware shall notify Dronology and deactivate all associated UAVs.
Dron-09,The GCSMiddleware shall forward commands sent from Dronology to a GCS
Dron-10,The GCSMiddleware shall handle state messages   monitoring messages  and mode change messages  received from an GCS.
Dron-11,The GCSMiddleware  shall follow a predefined set of steps to establish a connection between a GCS and Dronology
Dron-12,The GCSMiddleware shall handle multiple GCS
Dron-13,The DronologyRuntimeMonitor shall be able to receive messages from any Dronology component
Dron-14,When a new monitoring message is received the DronologyRuntimeMonitor shall forward the message to all subscribed clients
Dron-15,The DronologyRuntimeMonitor shall provide functionality to retrieve monitoring messages and distribute them to clients
Dron-16,The RealTimeFlightUI shall notify users when an emergency occurs.
Dron-17,The RealTimeFlightUI shall allow users to follow one or multiple UAVs on the map.
Dron-18,The RealTimeFlightUI shall allow users to perform emergency operations (e.g. hovering multiple UAVs  sending multiple UAVs to home) to a group of UAVs
Dron-19,The RealTimeFlightUI shall allow users to apply flight operations to one or more selected UAVs.
Dron-20,The RealTimeFlightUI shall display all currently active flight plans on the map.
Dron-21,The RealTimeFlightUI shall display the name and status of all currently activated UAVs
Dron-22,When the RouteCreationUI is loaded a list of all existing routes shall be displayed.
Dron-23,The RouteCreationUI shall allow a user to delete a route.
Dron-24,The RouteCreationUI shall allow the user to create and modify a route.
Dron-25,When requested  the RouteCreationUI shall send a newly created or modified route to dronology.
Dron-26,Each route shall include a unique ID  a textual description  and a set of waypoints  all of which are editable in the UI.
Dron-27,The RouteCreationUI shall only accept valid altitude and speed values for waypoint.
Dron-28,The RouteCreationUI shall distinguish between starting  ending  and intermediate waypoint markers.
Dron-29,When a user  cancels a pending flight plan the RouteAssignmentUI shall notify Dronology.
Dron-30,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.
Dron-31,When a UAV is selected  the RouteAssignmentUI shall display its active flight plans.
Dron-32,When requested by the user  the RouteAssignmentUI shall display details about the selected UAV and its flight plans.
Dron-33,When a route is assigned or removed from a UAV  the RouteAssignmentUI shall notify Dronology.
Dron-34,The RouteAssignmentUI shall provide means to select an existing routes and assign them to a UAV.
Dron-35,When loading the map view it shall be positioned at the pre-defined location
Dron-36,When the VaadinUI is activated  the VaadinUI shall be configured according to stored configuration parameters.
Dron-37,The UIMiddleware shall accept and activate a mission plan upon request.
Dron-38,The UIMiddleware shall enable an existing route to be assigned to an active UAV.
Dron-39,The UIMiddleware shall enable the creation and modification of flight routes
Dron-40,The UIMiddleware accepts commands from UIs and forwards to Dronology
Dron-41,The UIMiddleware shall provide a list of all existing routes
Dron-42,The UIMiddleware shall provide a list of all active UAVs
Dron-43,The ActivityLogger shall log all commands sent to and messages received from a CGS.
Dron-44,The ActivityLogger shall log all flight plan related events.
Dron-45,The InternalSimulator shall approximate the state of the battery
Dron-46,When given a landing command the InternalSimulator shall move the UAV from to the ground altitude corresponding to its current longitude and latitude.
Dron-47,When given a goto command  the InternalSimulator shall update the location of the UAV at increments of {{SIMULATIONSTEPSIZE}} meters  moving it towards the target destination until the destination is reached.
Dron-48,When given a takeoff command the InternalSimulator shall move the UAV to the takeoff altitude corresponding to its current longitude and latitude.
Dron-49,The InternalSimulator shall approximate the behavior of a UAV.
Dron-50,The UAVRegistrationManager shall store UAV meta-data information  such as the UAV's technical characteristics
Dron-51,When the maximum numbers of allowed activated UAVs has been reached  the UAVActivationManager shall reject any further activation requests.
Dron-52,When a UAV is deactivated the UAVActivationManager shall cancel all current and scheduled flight plans
Dron-53,The VehicleCore shall support virtual UAVs
Dron-54,The VehicleCore shall support UAVs connected via the GCS
Dron-55,When a group of UAVs are assigned flight patterns as part of a mission  the system shall provide a warning if any paths overlap.
Dron-56,If requested  the SingleUAVFlightPlanScheduler shall abort the currently executing flight plan of an UAV
Dron-57,If a UAV does not have any pending flight plans  then when it reaches the final waypoint of its current flight plan  the SingleUAVFlightPlanScheduler shall notify the UAV to hover in place.
Dron-58,If a scheduled flight is not manually assigned to a UAV  the SingleUAVFlightPlanScheduler shall assign the route automatically to an UAV
Dron-59,If a route contains a specific {{UAVID}}  the SingleUAVFlightPlanScheduler shall assign the route to the given UAV.
Dron-60,When requested  the SingleUAVFlightPlanScheduler shall schedule a route for execution.
Dron-61,When requested  if a mission is currently active  the MissionPlanner shall cancel the active mission.
Dron-62,The MissionPlanner shall manage predefined FlightPatterns
Dron-63,When a flight plan is activated for a UAV currently on the ground  the FlightSchedulingandExecution shall notify the UAV to takeoff vertically until it reaches the prescribed altitude.
Dron-64,If a flight plan is active and the hover in place command is rescinded  the FlightManager shall notify the UAV to continue to the originally designated waypoint.
Dron-65,If a flight route is assigned to a UAV which is currently hovering in place  the FlightManager shall assign the route and maintain the hover in place mode.
Dron-66,When the hover in place command is issued  the FlightManager shall halt the UAV in place and maintain its current position.
Dron-67,When given two coordinates the CoordinateSystem shall compute the direction from the first coordinate to the second coordinate.
Dron-68,When given two coordinates the CoordinateSystem shall compute the distance between them.
Dron-69,When requested  the CoordinateSystem shall transform coordinates to alternate formats.
Dron-70,When a flight route requires a customized takeoff altitude that differs from the system's default takeoff altitude  it shall be specified in the flight route.
Dron-71,The FlightRouteManager shall persist flight routes.
Dron-72,The FlightRouteManager shall ensure that all flight routes represent a {{VALIDFLIGHTROUTE}}.
Dron-73,When the return to home command is issued  the FlightManager shall return the UAV to its original launch location without issuing any additional waypoint or routing commands.
Dron-74,When the GCS loses the connection to an UAV  the GCS shall attempt to reconnect
Dron-75,The UAVActivationManager shall only activate UAVs that are registered.
Dron-76,When a GCS requests activation of a newly detected UAV  the GCSMiddleware shall forward the request to Dronology.
Dron-77,When a UAV has an active onboard Obstacle Avoidance  then the ObstacleAvoidance system shall not issue directives
Dron-78,The ObjectAvoidance system only issues commands within the capabilities of the UAV
Dron-79,If a UAV takes evasive actions the system will ensure that it will eventually reach its destination
Dron-80,When a stationary or moving object is within the proximity of a UAV the ObjectAvoidance system shall issue evasive directives to the UAV
Dron-81,The RealTimeFlightUI shall display the location of active UAVs as icons on the map.
Dron-82,When the RealTimeFlightUI is loaded  a map shall be displayed.
Dron-83,If a command is issued by the VaadinUI for an UAV  the VaadinUI shall request control of that UAV.
Dron-84,The UIMiddleware shall only assign one control-client at a time for each UAV.
Dron-85,The UIMiddleware shall provide an interface for registering UI clients.
Dron-86,When a UAV's current flight is cancelled  the SingleUAVFlightPlanScheduler shall in turn cancel all scheduled flight plans for that UAV.
Dron-87,If a UAV has pending flight plans  then when it reaches the final waypoint of its current flight plan  the SingleUAVFlightPlanScheduler shall execute the next assigned flight plan.
Dron-88,If requested  the SingleUAVFlightPlanScheduler shall unassign the flight plan assigned to a UAV that is awaiting execution.
Dron-89,The SingleUAVFlightPlanScheduler shall maintain a managed list of pending flight plans for Each UAV.
Dron-90,When a flight plan is executed  the VehicleCore shall send the next waypoint to the UAV.
Dron-91,Each waypoint shall be specified using coordinates that include longitude  latitude  and altitude.
Dron-92,The VehicleCore shall associate a {{UAVTYPE}} for each UAV defining its basic attributes.
Dron-93,The UAVActivationManager shall ensure that only one instance of each registered drone is active at any time.
Dron-94,The SingleUAVFlightPlanScheduler shall only execute one flight plan at a time for each UAV.
Dron-95,The VehicleCore shall assign a unique ID to each activated UAV.
Dron-96,If a client registers for notifications  the UIMiddleware shall send notifications for specific events
Dron-97,When requested  the VehicleCore shall shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram
