id,requirement
leed-01,The system must offer customisable metadata schema.
leed-02,The system must offer customisable workflow to import or create metadata and upload associated files and support multiple ingest protocols e.g. SWORD2
leed-03,The system must support association of single or multiple files with one metadata record.
leed-04,"The system must ingest and store metadata at a data object level, where a data object is a folder that contains one or more files"
leed-05,The system must support multiple files types including multimedia.
leed-06,"The system should have a simple process for ingesting large (multi-TB) data sets, potentially consisting of thousands of files."
leed-07,"The system must support controlled lists against some metadata fields, either held locally or drawn from an external source e.g. Subject vocabularies"
leed-08,"The system should support customisation of out of the box help text and provide context sensitive feedback for the depositor e.g. Highlight missing metadata fields, file upload failure alert."
leed-09,The system must support staged deposit workflow including an administrative area for quality checking prior to data publication.
leed-10,"The system must enable selective harvesting of metadata, including support for OAI-PMH sets; offer API functionality to re-users, conforming to open standards."
leed-11,The system must enable extraction of metadata and data in an open format e.g. to enable migration to another repository platform.
leed-12,The system must support current open standards and support exposure of metadata in different ways.
leed-13,The system should support different types of relationship within and between data sets e.g. IsVersionOf; Is Part Of; References etc. and support navigation between related datasets.
leed-14,The system should support additional depositor generated and re-user generated metadata.
leed-15,"The system should support customisation of out of the box help text and provide context sensitive feedback for the re-user to support search, navigation and re-use."
leed-16,The system must support multiple content licensing options with terms and conditions exposed clearly to human and machine re-users; support default licence setting (minimum CC licences plus others).
leed-17,The system should enable implementation of third party preservation tools such as DROID and JHOVE.
leed-18,The system should auto-generate preservation metadata.
leed-19,The system must support versioning of datasets including clear indication of the latest version.
leed-20,"The system should display file size, format and software application and version for re-users"
leed-21,The system must support technical metadata related to specific files or datasets.
leed-22,The system could generate a suggested data citation format / allow depositors to specify data citation format.
leed-23,The system must support generation of persistent unique identifiers for datasets including DOIs.
leed-24,The system could select multiple objects and save for download (shopping basket).
leed-25,The system could visualise and process data within the repository system.
leed-26,"The system should unpack a range of file archive formats (e.g. Zip, tar, gz, bz) to allow navigation through the archive folder structure and selective download"
leed-27,The system could support optional end user alerts e.g.to be notified of data change or new versions.
leed-28,The system must enable depositor and repository manager to specify granular access rights to the deposited data files at collection and data object level.
leed-29,The system should enable depositor and repository manager to specify granular access rights to the deposited data files at individual file level.
leed-30,"The system must support embargo options for metadata and/or associated files at collection, data object and file level."
leed-31,"The system must support open methods of authentication e.g. Shibboleth, OAuth, OpenID"
leed-32,The system must enable immediate access to and download of datasets where available
leed-33,The system must support access to very large data sets (over 1 TB or comprising more than 1000 files).
leed-34,The system must support access to data sets which may be stored outside the repository e.g. In cloud based storage.
leed-35,The system must support access to data sets which may be stored in other national or international repositories.
leed-36,"The system must remove data from public view to an access controlled area, a dark archive or full deletion, generating a tombstone reference in the public display which can itself be moved to an access controlled area, a dark archive or deleted."
leed-37,The system must support permanent data destruction to meet any legal or ethical requirements.
leed-38,"The system must manage granular access to data and its associated metadata, including data held securely in a dark archive."
leed-39,The system must offer effective search and discovery mechanism including a variety of browse options and keyword searching
leed-40,"The system must generate a variety of reports analysing repository content, including records associated with an academic unit, a funder, grant number, data creator and analysis of data by format, file size and embargo and access conditions."
leed-41,The system must hold funder and grant metadata associated with one or more repository records.
leed-42,The system must be OpenAire compliant out of the box or with simple customisation.
