id,requirement
Prj-1 - PR-001,The system shall have a MDI form that allows for the viewing of the graph and the data table.
Prj-1 - PR-002,The system shall display Events in a vertical table by time.
Prj-1 - PR-003,The system shall display the Events in a graph by time.
Prj-1 - PR-004,The system shall display Events or Activities.
Prj-1 - PR-005,"The display shall have two regions: left 2/3 of the display is graphical, right 1/3 of the display is a data table"
Prj-1 - PR-006,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data
Prj-1 - PR-007,The table side of the display shall be split into 2 regions: sequential and temporal.
Prj-1 - PR-008,The top 1/4 of the table will hold events that are to occur sequentially.
Prj-1 - PR-009,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.
Prj-1 - PR-010,The system shall color code events according to their variance from current time.
Prj-1 - PR-011,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications
Prj-1 - PR-012,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.
Prj-1 - PR-013,The system shall allow modification of the display.
Prj-1 - PR-014,The system shall offer a display of all the Events in the exercise.
Prj-1 - PR-015,The system shall filter data by: Venues and Key Events.
Prj-1 - PR-016,The system shall allow a user to define the time segments
Prj-1 - PR-017,The system shall display the local and exercise time in separate clocks
Prj-1 - PR-018,The system shall offer the ability to pause and resume the refresh of data.
Prj-1 - PR-019,The system shall provide charts for the Activity or Event actual versus assumed time.
Prj-1 - PR-020,The system shall provide a history report of changes made to the Activity or Event data
Prj-1 - PR-021,The system shall allow a real estate agent to query MLS information
Prj-1 - PR-022,The user shall be able to get driving directions to a selected property
Prj-1 - PR-023,The user shall be able to download appointments and contact information for clients
Prj-1 - PR-024,The system shall display clear property images in the search results
Prj-1 - PR-025,The system shall update or create new property listings in the MLS
Prj-1 - PR-026,Realtor shall be able to generate a CMA report based on property criteria
Prj-1 - PR-027,The system shall be able to call the seller or buyer to schedule an appointment
Prj-1 - PR-028,The realtor shall be notified of new client appointments after automatic synchronization with office system
Prj-2 - PR-029,The realtor shall be able to retrieve a map showing property locations for a specified area
Prj-2 - PR-030,The system shall notify the realtor when a seller or buyer responds to an appointment request
Prj-2 - PR-031,The product shall allow the user to save the property search results.
Prj-2 - PR-032,A cohort shall be associated to one Program of Study offered by the department.
Prj-2 - PR-033,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.
Prj-2 - PR-034,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort
Prj-2 - PR-035,Students added to a cohort shall be eligible for the cohort’s Program of Study.
Prj-2 - PR-036,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.
