id,requirement
reqView-01,"User shall be able to use the application on Windows, Linux and OSX."
reqView-02,User shall be able to use the application without installation of any additional SW except the web browser
reqView-03,ReqView shall use REST API to download / upload a requirements document from / to Google Drive web service
reqView-04,The data exchange via Internet shall be done via encrypted https protocol
reqView-05,User shall be able to create a new empty document
reqView-06,User shall be able to save the current document containing unsaved changes when creating a new document
reqView-07,User shall be able to open a document file stored on a local user's drive
reqView-08,User shall be able to save the current document containing unsaved changes when opening another document
reqView-09,User shall be able to save modified document as a file stored on user's local drive
reqView-10,User shall be able to save the current ReqView document as a template file stored on user's local drive
reqView-11,"The template file shall contain information about document structure, definition of custom attributes and traceability definition"
reqView-12,User shall be able to create a new document using a predefined or custom template
reqView-13,User shall be able to encrypt saved file by a strong industry standard encryption and with a user defined password
reqView-14,User shall be able to authorize ReqView with his Google Drive
reqView-15,User shall be able to open a document stored on user's Google Drive by providing its name
reqView-16,User shall be able to save the current document to user's Google Drive providing its name and password for encryption
reqView-17,User shall be able to upload a new version of a document opened from user's Google drive
reqView-18,User shall be able to import a structured requirements document from MS Word
reqView-19,User shall be able to import a table from MS Excel
reqView-20,User shall be able to export document to PDF with the same layout as displayed in the Requirements Table
reqView-21,User shall be able to export ReqView document to HTML using a custom template
reqView-22,User shall be able to export ReqView document to MS Word
reqView-23,User shall be able to show and hide Table of Contents (TOC) containing overall document structure visualized as a tree
reqView-24,User shall be able to navigate in the document by clicking at TOC sections
reqView-25,"User shall be able to review requirements organized into a table containing at Requirement ID, Requirement Description, Discussion, Links and custom requirement attribute columns"
reqView-26,ID column shall contain a unique identifier
reqView-27,"Description column shall contain the section number, heading, requirement text and requirement attachments"
reqView-28,"Discussion column shall visualize comments related to the requirement. Each comment shall contain its author, date and text"
reqView-29,Links column shall contain list of incoming and outgoing links grouped by link type.
reqView-30,User shall be able to change width of each column in the Requirements Table
reqView-31,User shall be able to show / hide each Requirements Table column except ID and Description columns
reqView-32,User shall be able to sort all columns of the Requirements Table except Discussion and Links column by ascending or descending order. Description column shall be sorted only ascending by document hierarchy order.
reqView-33,User shall be able to display and hide Attributes Panel containing list of custom attributes of the selected requirement in the Requirements Table
reqView-34,User shall be able to display and hide Discussion Panel containing all comments for the selected requirement in the Requirement Table.
reqView-35,Comments in the discussion shall be sorted by date in ascending order
reqView-36,"Each comment shall display date, author and the comment description"
reqView-37,User shall be able to expand and collapse all comments in Discussion panel.
reqView-38,User shall be able to display and hide Links panel containing list of all incoming and outgoing links related to the selected requirement in the Requirements Table grouped by link types
reqView-39,User shall be able to display and hide History panel containing all changes for a selected requirement in the Requirements Table
reqView-40,User shall be able to expand and collapse all changes in the History Panel.
reqView-41,"User shall be able to insert a new object before, after or as a child of a selected requirement"
reqView-42,"User shall be able to copy a selected object including its children before, after or as a child of another object"
reqView-43,"User shall be able to move selected objects including their children before, after or as child of another object"
reqView-44,User shall be able to mark a requirement including all its children as deleted.
reqView-45,User shall be able to undelete a selected requirement including all its children
reqView-46,User shall be able to permanently remove selected deleted requirements or all deleted requirements from document
reqView-47,User shall be able to edit object heading
