"id","requirement","redundancy","consistency","completion","NOTES"
"G1-R001","For each class within a sequence for a cohort, Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.","","","","Base requirement"
"G1-R002","The system shall retain the available recycled parts and suppliers returned from the search.","","","","Base requirement"
"G1-R003","The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers","","","","Base requirement"
"G1-R004","All streaming movie sales will be logged in the database, and accessible by the administrator.","","","","Base requirement"
"G1-R005","A clinical class shall specify the course name, lecture room requirements, clinical site needs, lecture instructor needs, and clinical lab instructor needs.","","","","Base requirement"
"G1-R006","The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.","","","","Base requirement"
"G1-R007","For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process, a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.","","","","Base requirement"
"G1-R008","Website shall allow customers to add their own movie review for a selected movie.","","","","Base requirement"
"G1-R009","The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number, the type of retrieval requested (copy, original or portfolio), and the date that the merchant response is due.","","","","Base requirement"
"G1-R010","The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.","","","","Base requirement"
"G1-R011","The audit report shall be displayed to the user.","","","","Base requirement"
"G1-R012","The realtor shall be able to retrieve a map showing property locations for a specified area","","","","Base requirement"
"G1-R013","The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts","","","","Base requirement"
"G1-R014","A cohort shall be associated to one Program of Study offered by the department.","","","","Base requirement"
"G1-R015","The system shall allow a real estate agent to query MLS information","","","","Base requirement"
"G1-R016","The system shall validate user credentials before granting access.","G1-R017","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G1-R017","The system shall verify user login information prior to allowing entry.","G1-R016","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G1-R018","The application shall log all error messages to the system log file.","G1-R019","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G1-R019","The application shall record error events in the log file.","G1-R018","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G1-R020","The system shall display confirmation message after successful save operation.","G1-R021","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G1-R021","Upon successful save, the system shall show a confirmation to the user.","G1-R020","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G2-R022","The notification of the game ending will include the reason the game is ended (i.e., a player has won the game or a player has ended the game).","","","","Base requirement"
"G2-R023","The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.'","","","","Base requirement"
"G2-R024","The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99\% of the time during the first six months of operation.'","","","","Base requirement"
"G2-R025","The product shall operate in offline mode whenever internet connection is unavailable.'","","","","Base requirement"
"G2-R026","A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.'","","","","Base requirement"
"G2-R027","If the shot was marked as a hit, the product shall allow the offensive player to define a shot.","","","","Base requirement"
"G2-R028","For each turn, the product shall allow the offensive player to define a shot.","","","","Base requirement"
"G2-R029","The product shall continue to assign turns until the game is ended.","","","","Base requirement"
"G2-R030","The product is expected to run on Windows CE and Palm operating systems.'","","","","Base requirement"
"G2-R031","The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.'","","","","Base requirement"
"G2-R032","The product shall comply with corporate User Interface Guidelines'","","","","Base requirement"
"G2-R033","system shall be able to handle all of the user requests/usage during business hours.'","","","","Base requirement"
"G2-R034","The system shall automatically log out users after 15 minutes of inactivity.","","G2-R035","","CONFLICT: Contradictory timeout policies - 15-min auto-logout vs. indefinite session"
"G2-R035","The system shall maintain user sessions indefinitely until manual logout.","","G2-R034","","CONFLICT: Contradictory timeout policies - 15-min auto-logout vs. indefinite session"
"G2-R036","All passwords must be exactly 8 characters in length.","","G2-R037","","CONFLICT: Incompatible password length constraints - fixed 8 chars vs. 12-20 range"
"G2-R037","The system shall accept passwords between 12 and 20 characters.","","G2-R036","","CONFLICT: Incompatible password length constraints - fixed 8 chars vs. 12-20 range"
"G2-R038","The system shall encrypt all data at rest using AES-256 encryption.","","G2-R039","","CONFLICT: Contradictory encryption policies - mandatory AES-256 vs. no encryption"
"G2-R039","The system shall not apply encryption to stored data to optimize performance.","","G2-R038","","CONFLICT: Contradictory encryption policies - mandatory AES-256 vs. no encryption"
"G3-R040","The system shall create new user accounts.","","","Missing: READ (view user details) and UPDATE (modify user information) operations for complete CRUD","INCOMPLETE SET: Missing: READ (view user details) and UPDATE (modify user information) operations for complete CRUD"
"G3-R041","The system shall delete user accounts.","","","Missing: READ (view user details) and UPDATE (modify user information) operations for complete CRUD","INCOMPLETE SET: Missing: READ (view user details) and UPDATE (modify user information) operations for complete CRUD"
"G3-R042","The system shall accept order submission from customers.","","","Missing: payment processing, inventory verification, shipping notification, and order status updates for complete workflow","INCOMPLETE SET: Missing: payment processing, inventory verification, shipping notification, and order status updates for complete workflow"
"G3-R043","The system shall send order confirmation email.","","","Missing: payment processing, inventory verification, shipping notification, and order status updates for complete workflow","INCOMPLETE SET: Missing: payment processing, inventory verification, shipping notification, and order status updates for complete workflow"
"G3-R044","The system shall authenticate users via username and password.","","","Missing: role-based authorization, session timeout handling, password reset/recovery mechanism for complete security","INCOMPLETE SET: Missing: role-based authorization, session timeout handling, password reset/recovery mechanism for complete security"
"G3-R045","The system shall generate monthly sales reports.","","","Missing: report format specification (PDF/Excel), delivery method (email/download), recipient list, and scheduling mechanism","INCOMPLETE SET: Missing: report format specification (PDF/Excel), delivery method (email/download), recipient list, and scheduling mechanism"
"G3-R046","The System shall utilize currently owned computer equipment.'","","","","Base requirement"
"G3-R047","Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.'","","","","Base requirement"
"G3-R048","The product shall be available 99\% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99\% of the time for regular business days.'","","","","Base requirement"
"G3-R049","The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds'","","","","Base requirement"
"G3-R050","Only managers are able to perform search queries for reservations by user.  100\% of all search queries for reservations by user shall be from logons of only management logons.'","","","","Base requirement"
"G3-R051","The System shall not require additional third party licenses resulting in royalty fees.'","","","","Base requirement"
"G3-R052","The product shall give users feedback when necessary. 80\% of the users surveyed report that the product accurately confirms their actions.'","","","","Base requirement"
"G3-R053","The interface shall have a simple look. In the interface and usability survey  90\% of beta testers must report that the interface is adequately simple.'","","","","Base requirement"
"G3-R054","Only authorized personnel can access customer records in the database.'","","","","Base requirement"
"G3-R055","The product shall be able to display calendar dates and times according to the user's locale.  90\% of survey respondents from each target market country will find that the date and time formatting of the product is correct.'","","","","Base requirement"
"G3-R056","The Commissioner will be the only authorized user per league to adjust league settings.'","","","","Base requirement"
"G3-R057","Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.'","","","","Base requirement"
"G3-R058","The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.'","","","","Base requirement"
"G3-R059","System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.'","","","","Base requirement"
"G3-R060","The System shall be able to automatically backup business data and restore them on demand.'","","","","Base requirement"
"G3-R061","98\% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls'","","","","Base requirement"
"G3-R062","The product shall allow for intuitive searching of available conference rooms.'","","","","Base requirement"
"G3-R063","The product shall be platform independent.The product shall enable access to any type of development environment and platform.'","","","","Base requirement"
"G4-R064","The product shall notify building personnel of equipment transport requests.","","","","Base requirement"
"G4-R065","The leads washing functionality will store any potential lead duplicates returned by the enterprise system.","","","","Base requirement"
"G4-R066","The look and feel of the system shall conform to the user interface standards of the smart device.'","","","","Base requirement"
"G4-R067","Daily usage statistics should be logged, and accessible by the administrator.","","","","Base requirement"
"G4-R068","The current repair facility ratings shall be displayed to the user.","","","","Base requirement"
"G4-R069","If projected  the data must be understandable. On a 10x10 projection screen  90\% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100'","","","","Base requirement"
